ZOOKEEPER-236,"+     */     +    public ZKTrustManager(X509ExtendedTrustManager x509ExtendedTrustManager, boolean hostnameVerificationEnabled, boolean shouldVerifyClientHostname)  {     +        this.x509ExtendedTrustManager = x509ExtendedTrustManager;     +        this.hostnameVerificationEnabled = hostnameVerificationEnabled;     +        this.shouldVerifyClientHostname = shouldVerifyClientHostname;     +     +        hostnameVerifier = new DefaultHostnameVerifier();     +    }     +     +    @Override     +    public X509Certificate[] getAcceptedIssuers()  {     +        return x509ExtendedTrustManager.getAcceptedIssuers();     +    }     +     +    @Override     +    public void checkClientTrusted(X509Certificate[] chain, String authType, Socket socket) throws CertificateException {     +        if (hostnameVerificationEnabled && shouldVerifyClientHostname)  {     +            performHostVerification(socket.getInetAddress(), chain[0]);     +        }     +        x509ExtendedTrustManager.checkClientTrusted(chain, authType, socket);     +    }     +     +    @Override     +    public void checkServerTrusted(X509Certificate[] chain, String authType, Socket socket) throws CertificateException {     +        if (hostnameVerificationEnabled) {    +            performHostVerification(socket.getInetAddress(), chain[0]);    +        }     +        x509ExtendedTrustManager.checkServerTrusted(chain, authType, socket);     +    }     +     +    @Override     +    public void checkClientTrusted(X509Certificate[] chain, String authType, SSLEngine engine) throws CertificateException {     +        if (hostnameVerificationEnabled && shouldVerifyClientHostname) {     +            try  {     +                performHostVerification(InetAddress.getByName(engine.getPeerHost()), chain[0]);     +            } catch (UnknownHostException e) {     +                throw new CertificateException(""failed to verify host"", e);     +            }     +        }     +        x509ExtendedTrustManager.checkServerTrusted(chain, authType, engine);     +    }     +     +    @Override     +    public void checkServerTrusted(X509Certificate[] chain, String authType, SSLEngine engine) throws CertificateException {     +        if (hostnameVerificationEnabled) {     +            try {    +                performHostVerification(InetAddress.getByName(engine.getPeerHost()), chain[0]);    +            }  catch (UnknownHostException e)  {     +                throw new CertificateException(""failed to verify host"", e);     +            }     +        }     +        x509ExtendedTrustManager.checkServerTrusted(chain, authType, engine);     +    }     +     +    @Override     +    public void checkClientTrusted(X509Certificate[] chain, String authType) throws CertificateException  {     +        x509ExtendedTrustManager.checkClientTrusted(chain, authType);     +    }     +     +    @Override     +    public void checkServerTrusted(X509Certificate[] chain, String authType) throws CertificateException  {     +        x509ExtendedTrustManager.checkServerTrusted(chain, authType);     +    }     +     +    private void performHostVerification(InetAddress inetAddress, X509Certificate certificate) throws CertificateException {     +        try {     +            hostnameVerifier.verify(inetAddress.getHostAddress(), certificate);     — End diff –     IIUC, this only verifies that the host name matches what's stored in the certificates, right?"
ZOOKEEPER-236,"If so, how do we verify that same subject is a valid peer we intended to connect to, rather than any random server which happens to have a valid cert?"
ZOOKEEPER-236,Or is this already taken care of by other parts of code?
ZOOKEEPER-236,"+     */     +    public ZKTrustManager(X509ExtendedTrustManager x509ExtendedTrustManager, boolean hostnameVerificationEnabled, boolean shouldVerifyClientHostname)  {     +        this.x509ExtendedTrustManager = x509ExtendedTrustManager;     +        this.hostnameVerificationEnabled = hostnameVerificationEnabled;     +        this.shouldVerifyClientHostname = shouldVerifyClientHostname;     +     +        hostnameVerifier = new DefaultHostnameVerifier();     +    }     +     +    @Override     +    public X509Certificate[] getAcceptedIssuers()  {     +        return x509ExtendedTrustManager.getAcceptedIssuers();     +    }     +     +    @Override     +    public void checkClientTrusted(X509Certificate[] chain, String authType, Socket socket) throws CertificateException {     +        if (hostnameVerificationEnabled && shouldVerifyClientHostname)  {     +            performHostVerification(socket.getInetAddress(), chain[0]);     +        }     +        x509ExtendedTrustManager.checkClientTrusted(chain, authType, socket);     +    }     +     +    @Override     +    public void checkServerTrusted(X509Certificate[] chain, String authType, Socket socket) throws CertificateException {     +        if (hostnameVerificationEnabled) {    +            performHostVerification(socket.getInetAddress(), chain[0]);    +        }     +        x509ExtendedTrustManager.checkServerTrusted(chain, authType, socket);     +    }     +     +    @Override     +    public void checkClientTrusted(X509Certificate[] chain, String authType, SSLEngine engine) throws CertificateException {     +        if (hostnameVerificationEnabled && shouldVerifyClientHostname) {     +            try  {     +                performHostVerification(InetAddress.getByName(engine.getPeerHost()), chain[0]);     +            } catch (UnknownHostException e) {     +                throw new CertificateException(""failed to verify host"", e);     +            }     +        }     +        x509ExtendedTrustManager.checkServerTrusted(chain, authType, engine);     +    }     +     +    @Override     +    public void checkServerTrusted(X509Certificate[] chain, String authType, SSLEngine engine) throws CertificateException {     +        if (hostnameVerificationEnabled) {     +            try {    +                performHostVerification(InetAddress.getByName(engine.getPeerHost()), chain[0]);    +            }  catch (UnknownHostException e)  {     +                throw new CertificateException(""failed to verify host"", e);     +            }     +        }     +        x509ExtendedTrustManager.checkServerTrusted(chain, authType, engine);     +    }     +     +    @Override     +    public void checkClientTrusted(X509Certificate[] chain, String authType) throws CertificateException  {     +        x509ExtendedTrustManager.checkClientTrusted(chain, authType);     +    }     +     +    @Override     +    public void checkServerTrusted(X509Certificate[] chain, String authType) throws CertificateException  {     +        x509ExtendedTrustManager.checkServerTrusted(chain, authType);     +    }     +     +    private void performHostVerification(InetAddress inetAddress, X509Certificate certificate) throws CertificateException {     +        try {     +            hostnameVerifier.verify(inetAddress.getHostAddress(), certificate);     — End diff –     check 1 and check 2 together do what check 3 does, no?"
ZOOKEEPER-236,Is this needed?
ZOOKEEPER-236,"*/          protected void handleBackwardCompatibility() {   properties.put(SSL_KEYSTORE_LOCATION, System.getProperty(SSL_KEYSTORE_LOCATION)); properties.put(SSL_KEYSTORE_PASSWD, System.getProperty(SSL_KEYSTORE_PASSWD)); properties.put(SSL_TRUSTSTORE_LOCATION, System.getProperty(SSL_TRUSTSTORE_LOCATION)); properties.put(SSL_TRUSTSTORE_PASSWD, System.getProperty(SSL_TRUSTSTORE_PASSWD)); properties.put(SSL_AUTHPROVIDER, System.getProperty(SSL_AUTHPROVIDER));              properties.put(JUTE_MAXBUFFER, System.getProperty(JUTE_MAXBUFFER));              properties.put(KINIT_COMMAND, System.getProperty(KINIT_COMMAND));              properties.put(JGSS_NATIVE, System.getProperty(JGSS_NATIVE));     +     +        ClientX509Util clientX509Util = new ClientX509Util();     +        putSSLProperties(clientX509Util);     +        properties.put(clientX509Util.getSslAuthProviderProperty(),     +                System.getProperty(clientX509Util.getSslAuthProviderProperty()));     +     +        putSSLProperties(new QuorumX509Util()); 	   End diff –          Do we need this call here?"
ZOOKEEPER-236,If the purpose is to populate various system properties of quorum ssl then maybe find another place to make the initialization call?
ZOOKEEPER-236,"Github user hanm commented on a diff in the pull request:  https://github.com/apache/zookeeper/pull/184#discussion_r114166007     — Diff: src/java/main/org/apache/zookeeper/server/quorum/Learner.java —     @@ -254,6 +260,9 @@ protected void connectToLeader(InetSocketAddress addr)                      }                      sockConnect(sock, addr, Math.min(self.tickTime * self.syncLimit, remainingInitLimitTime));     +                if (self.isSslQuorum())   {     +                    ((SSLSocket) sock).startHandshake();     +                }                      sock.setTcpNoDelay(nodelay);                      break;                  } catch (IOException e) {     — End diff –     Is it possible to get a more typed exception here (like SSLException) when hand shake failed?"
ZOOKEEPER-236,"Github user hanm commented on a diff in the pull request:  https://github.com/apache/zookeeper/pull/184#discussion_r114166502     — Diff: src/java/main/org/apache/zookeeper/common/X509Util.java —     @@ -160,43 +213,120 @@ public static X509KeyManager createKeyManager(String keyStoreLocation, String ke                  }                  throw new KeyManagerException(""Couldn't find X509KeyManager"");  } catch (Exception e)  {     -            throw new KeyManagerException(e);     +        }  catch (IOException|CertificateException|UnrecoverableKeyException|NoSuchAlgorithmException|KeyStoreException     +                keyManagerCreationException)  {     +            throw new KeyManagerException(keyManagerCreationException);              }  finally {                  if (inputStream != null) {                      try  {                          inputStream.close();     -                } catch (IOException e) {}     +                } catch (IOException ioException) {     +                    LOG.info(""Failed to close key store input stream"", ioException);     +                }                  }              }          }      -    public static X509TrustManager createTrustManager(String trustStoreLocation, String trustStorePassword)     +    public static X509TrustManager createTrustManager(String trustStoreLocation, String trustStorePassword,     +                                                      boolean crlEnabled, boolean ocspEnabled,     +                                                      final boolean hostnameVerificationEnabled,     +                                                      final boolean shouldVerifyClientHostname)                  throws TrustManagerException {              FileInputStream inputStream = null;              try {     -            char[] trustStorePasswordChars = trustStorePassword.toCharArray();                  File trustStoreFile = new File(trustStoreLocation);                  KeyStore ts = KeyStore.getInstance(""JKS"");                  inputStream = new FileInputStream(trustStoreFile);     -            ts.load(inputStream, trustStorePasswordChars);     -            TrustManagerFactory tmf = TrustManagerFactory.getInstance(""SunX509"");     -            tmf.init(ts);     +            if (trustStorePassword != null) {     +                char[] trustStorePasswordChars = trustStorePassword.toCharArray();     +                ts.load(inputStream, trustStorePasswordChars);     +            } else {     +                ts.load(inputStream, null);     +            }      -            for (TrustManager tm : tmf.getTrustManagers()) {     -                if (tm instanceof X509TrustManager) {     -                    return (X509TrustManager) tm;     +            PKIXBuilderParameters pbParams = new PKIXBuilderParameters(ts, new X509CertSelector());     +            if (crlEnabled || ocspEnabled) {     +                pbParams.setRevocationEnabled(true);     +                System.setProperty(""com.sun.net.ssl.checkRevocation"", ""true"");     +                System.setProperty(""com.sun.security.enableCRLDP"", ""true"");     +                if (ocspEnabled) {     +                    Security.setProperty(""ocsp.enable"", ""true"");     +                }     +     +            } else {     +                pbParams.setRevocationEnabled(false);     +            }     +     +            // Revocation checking is only supported with the PKIX algorithm     +            TrustManagerFactory tmf = TrustManagerFactory.getInstance(""PKIX"");     +            tmf.init(new CertPathTrustManagerParameters(pbParams));     +     +            for (final TrustManager tm : tmf.getTrustManagers()) {     +                if (tm instanceof X509ExtendedTrustManager) {     +                    return new ZKTrustManager((X509ExtendedTrustManager) tm, hostnameVerificationEnabled, shouldVerifyClientHostname);                      }                  }                  throw new TrustManagerException(""Couldn't find X509TrustManager"");     -        } catch (Exception e) {     -            throw new TrustManagerException(e);     +        } catch (IOException|CertificateException|NoSuchAlgorithmException|InvalidAlgorithmParameterException|KeyStoreException     +                 trustManagerCreationException) {     +            throw new TrustManagerException(trustManagerCreationException);              } finally {                  if (inputStream != null) {                      try {                         inputStream.close();    -                }  catch (IOException e) {}     +                } catch (IOException ioException)  {     +                    LOG.info(""failed to close TrustStore input stream"", ioException);     +                }                  }              }          }     -}     \ No newline at end of file     +     +    public SSLSocket createSSLSocket() throws X509Exception, IOException  {     +        SSLSocket sslSocket = (SSLSocket) getDefaultSSLContext().getSocketFactory().createSocket();     +        configureSSLSocket(sslSocket);     +     +        return sslSocket;     +    }     +     +    public SSLSocket createSSLSocket(Socket socket) throws X509Exception, IOException  {     +        SSLSocket sslSocket = (SSLSocket) getDefaultSSLContext().getSocketFactory().createSocket(socket, null, socket.getPort(), true);     +        configureSSLSocket(sslSocket);     +     +        return sslSocket;     +    }     +     +    private void configureSSLSocket(SSLSocket sslSocket) {     +        SSLParameters sslParameters = sslSocket.getSSLParameters();     +        sslParameters.setNeedClientAuth(true);    End diff –          Just curious, does setNeedClientAuth apply to client socket (as opposed to server socket)?"
ZOOKEEPER-237,@ben: credential: how about binding the id then?
ZOOKEEPER-237,"Clients can set this for their own convenience, but it has no aspirations towards being a true namespace?"
ZOOKEEPER-237,could the chroot be done entirely in the client library?
ZOOKEEPER-237,"pat, this patch does not apply any more, can you update the patch to merge with the trunk?"
ZOOKEEPER-247,Can we break them up into newlines?
ZOOKEEPER-249,"would be good to have in 3.1.0. nitay, do you want someone to review the patch?"
ZOOKEEPER-249,"Besides the ZOOKEEPER- before the name, is my patch okay format wise?"
ZOOKEEPER-251,"Looks to me like the issue is in the while loop:             goToNextLog();             if (!next())                 return;             while (hdr.getZxid() < zxid)  {                 next();  // ISSUE IS HERE             }  we aren't checking the next return value, we will call next again, which will fail if next previously returned false (ia will not be null but inputstream might be) The question in my mind is what Thomas asked - why is hdr zxid < zxid and next returning false?"
ZOOKEEPER-251,"Is this ok, or signalling a problem elsewhere?"
ZOOKEEPER-251,can you try this patch out thomas?
ZOOKEEPER-251,"To clear up confusion on my part, when you say ""the situation arises after switching from quorum to standalone"", you are referring to the single server that is stopped and started, and not the ensemble as a whole?"
ZOOKEEPER-256,Shouldnt this be documented?
ZOOKEEPER-261,do we want to differentiate on losing all of data or some data (lets say someone deletes some of the log data or snapshots)?
ZOOKEEPER-261,does that sound reasonable?
ZOOKEEPER-261,"If we have the ability to determine that state is corrupt, has been reset, or has mysteriously disappeared, then shouldn't we simply reset the whole server and start from scratch?"
ZOOKEEPER-261,"From the current implementation, FileTxnLog.getLastLoggedZxid() will return -1 already if the transaction log is empty, right?"
ZOOKEEPER-261,what is not there is that a server with no transaction log still votes.
ZOOKEEPER-261,"IIUC, maybe add some comments about these test only variables?"
ZOOKEEPER-261,"So, maybe throw an IOException here to abort server start process and let admin intervene instead?"
ZOOKEEPER-261,Is that in accord with Zookeeper style?
ZOOKEEPER-261,"Github user hanm commented on a diff in the pull request:  https://github.com/apache/zookeeper/pull/120#discussion_r91235960     — Diff: src/java/main/org/apache/zookeeper/server/persistence/FileTxnSnapLog.java —     @@ -132,6 +137,9 @@ public FileTxnSnapLog(File dataDir, File snapDir) throws IOException {              txnLog = new FileTxnLog(this.dataDir);              snapLog = new FileSnap(this.snapDir);     +     +        autoCreateDB = Boolean.parseBoolean(System.getProperty(ZOOKEEPER_DB_AUTOCREATE,     — End diff –     >> Is that in accord with Zookeeper style?"
ZOOKEEPER-261,"Github user eribeiro commented on a diff in the pull request:  https://github.com/apache/zookeeper/pull/120#discussion_r95707294     — Diff: src/java/main/org/apache/zookeeper/server/persistence/FileTxnSnapLog.java —     @@ -167,6 +175,16 @@ public long restore(DataTree dt, Map<Long, Integer> sessions,                  PlayBackListener listener) throws IOException {              long deserializeResult = snapLog.deserialize(dt, sessions);              FileTxnLog txnLog = new FileTxnLog(dataDir);     +        boolean suspectEmptyDB;     +        File initFile = new File(dataDir.getParent(), ""initialize"");     +        if (initFile.exists()) {     — End diff –     As Java 7 is the default we could use the code below?"
ZOOKEEPER-261,"Github user eribeiro commented on a diff in the pull request:  https://github.com/apache/zookeeper/pull/120#discussion_r95703179     — Diff: bin/zkServer-initialize.sh —     @@ -113,6 +113,8 @@ initialize() {          else              echo ""No myid provided, be sure to specify it in $ZOO_DATADIR/myid if using non-standalone""          fi     +     +    date > ""$ZOO_DATADIR/initialize""     — End diff –     Nit: If the sole purpose of this file is to act as a marker, in spite of its content,  then a      ```touch $ZOO_DATADIR/initialize```      would be enough, wouldn't it?"
ZOOKEEPER-261,"Github user eribeiro commented on a diff in the pull request:  https://github.com/apache/zookeeper/pull/120#discussion_r95709489     — Diff: src/java/main/org/apache/zookeeper/server/persistence/FileTxnSnapLog.java —     @@ -167,6 +175,16 @@ public long restore(DataTree dt, Map<Long, Integer> sessions,                  PlayBackListener listener) throws IOException {              long deserializeResult = snapLog.deserialize(dt, sessions);              FileTxnLog txnLog = new FileTxnLog(dataDir);     +        boolean suspectEmptyDB;     — End diff –     Could we rename this to `recoveringDB` or `recoveringNode`?"
ZOOKEEPER-261,"So, not necessarily its DB will be empty, but it is in a recovering process so we want to avoid that it becoming the leader and messing up with transactions performed while it was offline, right?"
ZOOKEEPER-261,Could we rename this to `recoveringDB` or `recoveringNode`?
ZOOKEEPER-261,"So, not necessarily its DB will be empty, but it is in a recovering process so we want to avoid that it becoming the leader and messing up with transactions performed while it was offline, right?"
ZOOKEEPER-261,""");                  }  /* TODO: (br33d) we should either put a ConcurrentHashMap on restore() *       or use Map on save() */ save(dt, (ConcurrentHashMap<Long, Integer>)sessions); /* return a zxid of zero, since we the database is empty */ return 0;     +     +            if (suspectEmptyDB) {     +                /* return a zxid of -1, since we are possibly missing data */     +                LOG.warn(""Unexpected empty data tree, setting zxid to -1""); 	   End diff –          Are we 100% sure the data tree is empty?"
ZOOKEEPER-261,Couldn't it be only partially complete?
ZOOKEEPER-261,"I mean the machine recorded up to transaction n, but lost transactions n+1, n+2, n+3, etc?"
ZOOKEEPER-261,"What if we change the approach and, instead of the initialize file being used for normal execution, we use a recover (or rejoin) file whose presence denote an exceptional restart of a ZK node?"
ZOOKEEPER-261,😄 Wdyt?
ZOOKEEPER-261,"/cc Michael Han Benjamin Reed Flavio Paiva Junqueira "" PS2: The scenario described in the JIRA is a good point in favor of a initialize file, because when B & C came back *automatically* then the initialize file would be missing from both nodes, and the ensemble would grind to a halt because no one would be leader, right?"
ZOOKEEPER-261,"Otherwise, if there was an script to *automatically create those files on each node  once the machine was turned up then B & C would have the file created and then we could come back to square one, right?"
ZOOKEEPER-261,Does it make any sense what I am writing?
ZOOKEEPER-261,anyone understands why it doesn't autoclose?
ZOOKEEPER-261,@breed Are you sure this is committed (and pushed to apache git)?
ZOOKEEPER-264,Could someone post the link to the state transition documentation in the 3.1.0 branch?
ZOOKEEPER-264,Maybe put it online in the developers section?
ZOOKEEPER-264,Is there somethign I am missing?
ZOOKEEPER-267,Should it even happen before you're connected?
ZOOKEEPER-268,the patch looks good except a nit..     /** Cannot create a new instance of Utils */      private Utils() { +        super();      }    why do we need to call super()?
ZOOKEEPER-268,isnt it default object()?
ZOOKEEPER-271,does this mean the new client is 100% backward compatible with the old client or not?
ZOOKEEPER-272,returning an offset for getchildren is a good suggestion.... should we just fix the limit in this jira and open another one for getchildren returning an offset ?
ZOOKEEPER-272,What about having getChildren() return an Iterator<String> instead of a List<String>?
ZOOKEEPER-275,"What do you mean by ""kill qcnxmanager""?"
ZOOKEEPER-275,"During the ""kill"" is the code explicitly closing the port?"
ZOOKEEPER-275,It might be that the socket isn't being closed explicitly?
ZOOKEEPER-275,Can you regenerate the patch Flavio?
ZOOKEEPER-275,Do we really need that?
ZOOKEEPER-276,* ?
ZOOKEEPER-276,"Does the completion of the application-write also guarantee that this transaction is synchonously persisted on the disk on these two bookies, or does this transaction reside in memory of these two bookies and is lazily flushed?"
ZOOKEEPER-279,Can we get a review for this?
ZOOKEEPER-281,"A web search seems to indicate that there are problems with doxygen's autoconf integration: http://www.nabble.com/aclocal-1.9-and-aclocal-1.10-are-failing-while-aclocal-1.7-is-not-td18647659.html can you try editing acinclude.m4 line 79 to look like: if test ""$DX_FLAG_$[DX_CURRENT_FEATURE$$1]"" = 1; then and retry?"
ZOOKEEPER-281,Can you propose something else?
ZOOKEEPER-281,Do you need an access to the system like mine is?
ZOOKEEPER-281,"1) download the attached ZOOKEEPER-281.patch and apply it to your codebase 2) run ""autoreconf -if"" 3) run ""./configure"" does this work?"
ZOOKEEPER-281,"By the way, why C*FLAGS are ignored by the build system?"
ZOOKEEPER-281,Should I submit an item for this case?
ZOOKEEPER-288,"2) in genLedgerKey and genMacKey, why do you allocate a byte array, do the copy and then do the digest.update(), rather than calling digest.update() twice?"
ZOOKEEPER-288,4) are the masterkeys stored with the ledger fragment?
ZOOKEEPER-288,"> > 2) in genLedgerKey and genMacKey, why do you allocate a byte array, do the copy and then do the  > > digest.update(), rather than calling digest.update() twice?"
ZOOKEEPER-288,"Do you think that ""ledgers"" in Bookie.java should also be a WeakHashMap?"
ZOOKEEPER-288,> > 4) are the masterkeys stored with the ledger fragment?
ZOOKEEPER-288,Do you think it should?
ZOOKEEPER-290,can you reproduce this?
ZOOKEEPER-292,"Patrick, sorry for my perseverance but... What about CFLAGS and CXXFLAGS?"
ZOOKEEPER-292,Should I create an issue (jira item) for this?
ZOOKEEPER-292,Could you be more explicit?
ZOOKEEPER-297,Could you regenerate the patch using 'git diff --no-prefix'?
ZOOKEEPER-297,Any idea what's going on here?
ZOOKEEPER-302,"i have one small suggestion: in the early part of the patch you log some problem when you catch an exception, would it be good to log the exception?"
ZOOKEEPER-308,Is their some specific reason for it?
ZOOKEEPER-308,looks the outstanding changes on gives us a sorted order of zxid.... is it possible to get rid of outstandingchanges assuming that if zxid is the first in the outstandingchanges queue then zxid +1 will be the next one?
ZOOKEEPER-308,"what is the purpose of writePacket(*, boolean) in follower.java."
ZOOKEEPER-308,Why do we need to an option on when to flush ?
ZOOKEEPER-308,why is tcpNodelay an option?
ZOOKEEPER-308,why is not it always set to true?
ZOOKEEPER-308,leader.java (line 560) needs wrapping why is the Excpetion wrapped around to IOExcpetion in SerializeUtils.java?
ZOOKEEPER-308,All the lines in the deserializeSnapshot can only throw IOExcpeiton?
ZOOKEEPER-308,Why do we have to wrap around Exception?
ZOOKEEPER-308,ok ...  so for 6) are you going to change it for this patch or do you want to do that later?
ZOOKEEPER-309,can we include a test case for this so that we do not get embarrased again?
ZOOKEEPER-311,is there a reason you are changing logic?
ZOOKEEPER-311,"I spent quite a bit of time looking at it while trying to determine it's behaviour in various cases — e.g., what happens if my buffer is 1 byte long?"
ZOOKEEPER-311,"it would be nice if it could test name buffers of size 0 to 3. can you do this chris, or do you need me to write it?"
ZOOKEEPER-313,"sunanda,  can you try out our latest release 3.1.0?"
ZOOKEEPER-316,Is their some other way we can do it ?
ZOOKEEPER-318,"Thoguh, did you see any performance impact from using the lcoks?"
ZOOKEEPER-318,"if not, I would proabably leave the locks their, since it prevents against future changes (say we have two threads accessing the methods in zk_hashtable.c).. what do you think?"
ZOOKEEPER-319,""",                 zh->auth.scheme));         zh->state=ZOO_AUTH_FAILED_STATE;     }else{         zh->auth.state=1;  // active         LOG_INFO((""Authentication scheme %s succeeded"", zh->auth.scheme));     }      if (zh->auth.completion) {         auth_completion = zh->auth.completion;         auth_data = zh->auth.data;         zh->auth.completion=0;     }      zoo_unlock_auth(zh);   Should we get rid of logging within the lock?"
ZOOKEEPER-320,Updated with a NULL initialization as per the comment on ZOOKEEPER-319: https://issues.apache.org/jira/browse/ZOOKEEPER-319#action_12676824 Out of interest — what compiler gives these errors?
ZOOKEEPER-321,"If it is not too much trouble, could you please elaborate?"
ZOOKEEPER-321,Does this clear things out?
ZOOKEEPER-323,"Ben any update on this, have you made any progress towards a patch?"
ZOOKEEPER-323,Or provide insight for someone who might want to work on this?
ZOOKEEPER-324,"Are you sure to use UTF8 as encoding, not UTF16(UCS-2), which is the internal String encoding in the JVM?"
ZOOKEEPER-324,It may be faster do convert to and from Strings?
ZOOKEEPER-324,"Actually I'm not sure, whether UTF16 is guaranteed to be the internal encoding, just read it here: http://web.archive.org/web/20040411230912/http://www.i18nfaq.com/java.html#4   I suppose that the wire encoding should be the same as the internal encoding in the server?"
ZOOKEEPER-325,"Mahadev, Could you please check the patch of jira 305?"
ZOOKEEPER-328,"Does anybody know, how we could mock the DNS lookup done by java at test time?"
ZOOKEEPER-332,"Feel free to close, it might be good to document this somewhere, perhaps a src/c/valgrind.txt file that details the exceptions in case someone else runs valgrind?"
ZOOKEEPER-332,Isn't there some way to pass known exceptions to valgrind?
ZOOKEEPER-332,perhaps a new jira to update the makefile to include valgrind/helgrind support?
ZOOKEEPER-333,Was the run against 3.1.0 or against a snapshot from trunk?
ZOOKEEPER-333,"If the latter, do you know the SVN revision number?"
ZOOKEEPER-333,Perhaps this means helgrind is tickling a bad problem(s)?
ZOOKEEPER-333,Perhaps you guys could also look at the test in question to see if anything catches your eye?
ZOOKEEPER-335,Will the fix be simplified if backward compatibility was not an issue?
ZOOKEEPER-335,Any chance you could upload the logs during the initial event?
ZOOKEEPER-335,Have you been able to clear the problem?
ZOOKEEPER-335,Were they supposed to have no state at all?
ZOOKEEPER-335,Have you deleted your logs and snapshots before restarting the servers?
ZOOKEEPER-335,Do you guys see anything I'm overlooking?
ZOOKEEPER-335,"After seeing that all 3 nodes are in LOOKING state, X decides to be a leader?"
ZOOKEEPER-335,"Vishal, if Flavio provides you with a patch could you apply it and verify with your configuration?"
ZOOKEEPER-335,Any change this will be fixed soon ?
ZOOKEEPER-335,Will this prevent the log divergence to affect divergence of ordering of client transactions?
ZOOKEEPER-335,"Folks, Can someone comment if the work around that I mentioned in my previous comment is valid?"
ZOOKEEPER-335,Can someone explain why?
ZOOKEEPER-335,Comments/suggestions?
ZOOKEEPER-335,Was there an email or something about this?
ZOOKEEPER-335,Could we get a summary of the current state of correctness vis a vis the existing implementation?
ZOOKEEPER-335,Why do you think we need to get the timing right?
ZOOKEEPER-335,Do you agree that my workaround from the client side will work?
ZOOKEEPER-335, Was there an email or something about this?
ZOOKEEPER-335,What year is it now...?
ZOOKEEPER-335,"when i originally read it i thought you meant to have a client make sure to do an innocuous first transaction, but you would run into timing issues there because another client might be first."
ZOOKEEPER-335,"when i originally read it i thought you meant to have a client make sure to do an innocuous first transaction, but you would run into timing issues there because another client might be first."
ZOOKEEPER-335,are you able to reproduce the problem reliably?
ZOOKEEPER-335,What are you referring to?
ZOOKEEPER-335,flavio can you see if you notice anything?
ZOOKEEPER-335,vishal and flavio can you check it out?
ZOOKEEPER-336,1b) Should this be part of a separate issue?
ZOOKEEPER-336,More efficient code is probably just to create a new set with all the live connections and swap it out for the old set?
ZOOKEEPER-336,Could you please add one to this patch?
ZOOKEEPER-336,Is it related to the fact that Hudson is currently reporting errors even without this patch?
ZOOKEEPER-337,Can you upload a new patch pat?
ZOOKEEPER-338,Updated as c client component - is this an issue for either the java server/client?
ZOOKEEPER-344,New state: Expired : zpath=/benchmark/jobs/com.bigdata.service.jini.benchmark.ThroughputMaster/test_1/client1356/locknode   can you post  corresponding session id's with these ?
ZOOKEEPER-344,You could also use JMX if that works for you: http://hadoop.apache.org/zookeeper/docs/current/zookeeperJMX.html What is the timeout value you are using for your ZK clients?
ZOOKEEPER-344,"Re your benchmark, how many operations/sec are you running?"
ZOOKEEPER-344,What's the read/write split?
ZOOKEEPER-344,"Your zk server is a single quad-core x86_64 cpu, correct?"
ZOOKEEPER-344,"Also, looking at your logs the client log is from 13:35 while the server log is from 13:06, assuming that the  clocks are even fairly close this is almost 30min difference, if true it's unlikely the events are correlated?"
ZOOKEEPER-344,"WARN [main-SendThread] org.apache.zookeeper.ClientCnxn$SendThread.run(ClientCnxn.java:898) 2009-03-30 17:34:48,120 - Exception closing session 0x120597b6137000b to sun.nio.ch.SelectionKeyImpl@7eb1cc87 java.io.IOException: TIMED OUT         at org.apache.zookeeper.ClientCnxn$SendThread.run(ClientCnxn.java:837)  WARN [NIOServerCxn.Factory:2181] org.apache.zookeeper.server.NIOServerCnxn.doIO(NIOServerCnxn.java:417) 2009-03-30 17:34:48,166 - Exception causing close of session 0x120597b6137000b due to java.io.IOException: Read error DEBUG [NIOServerCxn.Factory:2181] org.apache.zookeeper.server.NIOServerCnxn.doIO(NIOServerCnxn.java:420) 2009-03-30 17:34:48,166 - IOException stack trace java.io.IOException: Read error         at org.apache.zookeeper.server.NIOServerCnxn.doIO(NIOServerCnxn.java:295)         at org.apache.zookeeper.server.NIOServerCnxn$Factory.run(NIOServerCnxn.java:162)  INFO [NIOServerCxn.Factory:2181] org.apache.zookeeper.server.NIOServerCnxn.close(NIOServerCnxn.java:752) 2009-03-30 17:34:48,172 - closing session:0x120597b6137000b NIOServerCnxn: java.nio.channels.SocketChannel[connected local=/192.168.6.21:2181 remote=/192.168.6.28:60720] And here is appears that the closed session was re-initialized?"
ZOOKEEPER-344,Perhaps closed != expired?
ZOOKEEPER-344,You are on a windows machine right?
ZOOKEEPER-344,and also its a single server ensemble?
ZOOKEEPER-344,hmm... Can you create a sample test application that I could run on my machine and see if I reproduce this on my linux machines?
ZOOKEEPER-344,How would I go about isolating that further outside of writing stress tests for zookeeper?
ZOOKEEPER-344,"If this is indeed a zookeeper bug and you have some idea of the possible issues involved, then perhaps you can suggest some additional instrumentation of zookeeper and I could run against a version with more instrumentation which might reveal something?"
ZOOKEEPER-345,"Thanks Henry, would it be possible for you to provide a patch for the C CLI as well?"
ZOOKEEPER-348,can you try using 3.1* versions?
ZOOKEEPER-353,"I think this is the case from looking at the patch but wanted to verify: javadoc target will only include javadoc on ""user public"" apis?"
ZOOKEEPER-353,"ie the limited subset of classes that we expose to users directly, the programming api etc... while javadoc-dev will include javadoc on all (public) apis?"
ZOOKEEPER-356,flavio is the zookeeper layout of bookkeeper documented somewhere?
